candidate,name,report_group,workload,seed,load,trace_sha256,generated,source_overrun,accepted,delivered,errors,measurement_event_per_cycle,p95_e2e_latency,p99_e2e_latency,max_e2e_latency,max_request_wait,demand_normalized_fairness,min_source_service_ratio,drain_cycles
a4-quadtree-model,uniform_l0p125_s2001,uniform,uniform,2001,0.125,850e064e2dfe61567e4fd275fb2c200ec23b995f810f4fa40c87322e640e4ffc,251,0,251,251,0,0.12255859375,2,2,2,0,1.0,1.0,0
mock-flat-rr-model,uniform_l0p125_s2001,uniform,uniform,2001,0.125,850e064e2dfe61567e4fd275fb2c200ec23b995f810f4fa40c87322e640e4ffc,251,0,251,251,0,0.12255859375,1,1,1,0,1.0,1.0,0
a4-quadtree-model,uniform_l0p125_s2002,uniform,uniform,2002,0.125,e1a7cdc62d914a7e0b92d4cd3e9d7289655e8ad0eb27b513b6859bef694c741d,261,0,261,261,0,0.12744140625,2,2,2,0,1.0,1.0,0
mock-flat-rr-model,uniform_l0p125_s2002,uniform,uniform,2002,0.125,e1a7cdc62d914a7e0b92d4cd3e9d7289655e8ad0eb27b513b6859bef694c741d,261,0,261,261,0,0.12744140625,1,1,1,0,1.0,1.0,0
a4-quadtree-model,uniform_l0p125_s2003,uniform,uniform,2003,0.125,cecd8707640657715f9b69c57640a49aa5777bb7d3aea61d7038e07b114f9528,231,0,231,231,0,0.11279296875,2,2,2,0,1.0,1.0,0
mock-flat-rr-model,uniform_l0p125_s2003,uniform,uniform,2003,0.125,cecd8707640657715f9b69c57640a49aa5777bb7d3aea61d7038e07b114f9528,231,0,231,231,0,0.11279296875,1,1,1,0,1.0,1.0,0
a4-quadtree-model,uniform_l0p50_s2001,uniform,uniform,2001,0.5,5e897c984eaf929c1b3af994c9776a5d776abc82e78b2660bb90ea5169cb76ab,982,0,982,982,0,0.4794921875,2,2,2,0,1.0,1.0,0
mock-flat-rr-model,uniform_l0p50_s2001,uniform,uniform,2001,0.5,5e897c984eaf929c1b3af994c9776a5d776abc82e78b2660bb90ea5169cb76ab,982,0,982,982,0,0.4794921875,1,1,1,0,1.0,1.0,0
a4-quadtree-model,uniform_l0p50_s2002,uniform,uniform,2002,0.5,a3049c9c22c391dd3447362a260e149dd12da4debd43ddb8dc452de01d2fc6e2,1038,0,1038,1038,0,0.50634765625,2,2,2,0,1.0,1.0,1
mock-flat-rr-model,uniform_l0p50_s2002,uniform,uniform,2002,0.5,a3049c9c22c391dd3447362a260e149dd12da4debd43ddb8dc452de01d2fc6e2,1038,0,1038,1038,0,0.5068359375,1,1,1,0,1.0,1.0,0
