suite,trace,trace_sha256,k,model,b,d,seed,generated,accepted,delivered,source_overrun,fixed_window_delivered,average_latency,p95_latency,p99_latency,max_latency,drain_cycle
full50,uniform_l1p00_s2003,513b8baed3695aed416b8c8fd15808cb5047b006e60bd606d439f73948a8b399,2,flat_k_grant,0,0,0,2048,2048,2048,0,2047,2.0,2,2,2,2048
full50,uniform_l1p00_s2003,513b8baed3695aed416b8c8fd15808cb5047b006e60bd606d439f73948a8b399,2,ecrf,2,2,0,2048,2048,2048,0,2047,2.0,2,2,2,2048
full50,uniform_l1p25_s2001,a77a87fb0f1a081c183460d5f5f9274fd19114f0d4ae06d4c97360d243661090,2,flat_k_grant,0,0,0,2536,2536,2536,0,2534,2.0,2,2,2,2048
full50,uniform_l1p25_s2001,a77a87fb0f1a081c183460d5f5f9274fd19114f0d4ae06d4c97360d243661090,2,ecrf,2,2,0,2536,2536,2536,0,2534,2.0,2,2,2,2048
full50,uniform_l1p25_s2002,d73514e45ecfec672b2f2034c9ccf1f6c7d040e4ca228015c2fb664a81c4f5bb,2,flat_k_grant,0,0,0,2574,2574,2574,0,2573,2.0,2,2,2,2048
full50,uniform_l1p25_s2002,d73514e45ecfec672b2f2034c9ccf1f6c7d040e4ca228015c2fb664a81c4f5bb,2,ecrf,2,2,0,2574,2574,2574,0,2573,2.0,2,2,2,2048
full50,uniform_l1p25_s2003,d3076dbcc97c3b9b10136be192181528eee8bf0ad2d07549effd1c1cf7d33ddb,2,flat_k_grant,0,0,0,2550,2550,2550,0,2549,2.0,2,2,2,2048
full50,uniform_l1p25_s2003,d3076dbcc97c3b9b10136be192181528eee8bf0ad2d07549effd1c1cf7d33ddb,2,ecrf,2,2,0,2550,2550,2550,0,2549,2.0,2,2,2,2048
full50,uniform_l1p50_s2001,7653c20cb03953592a0727f73ee66761a6e719d06019234cf61fd4e471393839,2,flat_k_grant,0,0,0,3039,3039,3039,0,3038,2.0,2,2,2,2048
full50,uniform_l1p50_s2001,7653c20cb03953592a0727f73ee66761a6e719d06019234cf61fd4e471393839,2,ecrf,2,2,0,3039,3039,3039,0,3038,2.0,2,2,2,2048
full50,uniform_l1p50_s2002,6193ccd24af9f7c182b3a2fa6f355d6a2c210bd43476bca8e2242897ae1ee8ab,2,flat_k_grant,0,0,0,3094,3094,3094,0,3092,2.0,2,2,2,2048
full50,uniform_l1p50_s2002,6193ccd24af9f7c182b3a2fa6f355d6a2c210bd43476bca8e2242897ae1ee8ab,2,ecrf,2,2,0,3094,3094,3094,0,3092,2.0,2,2,2,2048
full50,uniform_l1p50_s2003,d301da0e4dba7a64c4c1154fe617612368d3908779bf3204be5471bfae847bad,2,flat_k_grant,0,0,0,3045,3045,3045,0,3044,2.0,2,2,2,2048
full50,uniform_l1p50_s2003,d301da0e4dba7a64c4c1154fe617612368d3908779bf3204be5471bfae847bad,2,ecrf,2,2,0,3045,3045,3045,0,3044,2.0,2,2,2,2048
