name,workload,report_group,trace_sha256,generated,source_overrun,accepted,delivered,errors,compressed_bits,raw_bits,compression_ratio,escape_ratio,same_tokens,run_tokens,delta_tokens,raw_tokens,link_bits_per_event,link_cycles,events_per_link_cycle,events_per_pin_cycle,data_toggles_per_event,toggle_proxy_per_event,raw_events_per_pin_cycle,raw_toggle_proxy_per_event,offered_bits_per_event,offered_compression_ratio,offered_escape_ratio,overrun_ratio,throughput,avg_e2e_latency,p95_e2e_latency,p99_e2e_latency,max_e2e_latency,avg_internal_latency,total_cycles
uniform_l1p00_s2002,uniform,uniform,262f9f91597666910d43bfb5e4a6e9a999272207c22e07f0449ccac707348a5d,2048,1541,507,507,0,1685,2028,1.2035608308605341,0.08086785009861933,0,0,466,41,3.323471400394477,1096,0.4625912408759124,0.09251824817518248,3.873767258382643,9.875739644970414,0.1,2.0,6.13671875,0.6518141311266709,0.8125,0.75244140625,0.240234,60.22288,75.0,76.0,77,9.313609,2121
uniform_l1p00_s2003,uniform,uniform,513b8baed3695aed416b8c8fd15808cb5047b006e60bd606d439f73948a8b399,2048,1543,505,505,0,1687,2020,1.1973918197984588,0.08514851485148515,0,0,462,43,3.3405940594059405,1096,0.4607664233576642,0.09215328467153285,3.877227722772277,9.87920792079208,0.1,1.992079207920792,6.1416015625,0.6512959134997615,0.81591796875,0.75341796875,0.239746,60.093069,75.0,76.0,77,9.326733,2117
uniform_l1p25_s2001,uniform,uniform,a77a87fb0f1a081c183460d5f5f9274fd19114f0d4ae06d4c97360d243661090,2536,2027,509,509,0,1675,2036,1.2155223880597015,0.07269155206286837,0,0,472,37,3.2907662082514735,1092,0.4661172161172161,0.09322344322344323,3.8703339882121806,9.87229862475442,0.1,2.0157170923379173,6.2484227129337535,0.640161554966553,0.8339905362776026,0.7992902208201893,0.240723,62.263261,75.0,77.0,77,9.280943,2121
uniform_l1p25_s2002,uniform,uniform,d73514e45ecfec672b2f2034c9ccf1f6c7d040e4ca228015c2fb664a81c4f5bb,2574,2069,505,505,0,1687,2020,1.1973918197984588,0.08514851485148515,0,0,462,43,3.3405940594059405,1096,0.4607664233576642,0.09215328467153285,3.893069306930693,9.895049504950496,0.1,2.015841584158416,6.2466977466977465,0.6403383294981031,0.8356643356643356,0.8038073038073038,0.239746,61.861386,75.0,77.0,77,9.330693,2117
uniform_l1p25_s2003,uniform,uniform,d3076dbcc97c3b9b10136be192181528eee8bf0ad2d07549effd1c1cf7d33ddb,2550,2043,507,507,0,1665,2028,1.218018018018018,0.07100591715976332,0,0,471,36,3.2840236686390534,1086,0.46685082872928174,0.09337016574585635,3.8698224852071004,9.871794871794872,0.1,2.0039447731755424,6.280784313725491,0.6368631368631369,0.8450980392156863,0.8011764705882353,0.241211,62.272189,75.0,77.0,77,9.274162,2111
uniform_l1p50_s2001,uniform,uniform,7653c20cb03953592a0727f73ee66761a6e719d06019234cf61fd4e471393839,3039,2530,509,509,0,1667,2036,1.2213557288542292,0.068762278978389,0,0,474,35,3.275049115913556,1088,0.4678308823529412,0.09356617647058824,3.8703339882121806,9.87229862475442,0.1,2.011787819253438,6.294504771306351,0.6354749333472738,0.8423823626192827,0.8325106943073379,0.241699,64.37721,75.0,76.0,77,9.265226,2117
uniform_l1p50_s2002,uniform,uniform,6193ccd24af9f7c182b3a2fa6f355d6a2c210bd43476bca8e2242897ae1ee8ab,3094,2586,508,508,0,1676,2032,1.2124105011933175,0.07480314960629922,0,0,470,38,3.2992125984251968,1092,0.4652014652014652,0.09304029304029304,3.877952755905512,9.87992125984252,0.1,2.0118110236220472,6.310924369747899,0.6338215712383488,0.8464770523594053,0.8358112475759535,0.240723,65.086614,75.0,77.0,77,9.285433,2119
uniform_l1p50_s2003,uniform,uniform,d301da0e4dba7a64c4c1154fe617612368d3908779bf3204be5471bfae847bad,3045,2536,509,509,0,1671,2036,1.2184320766008379,0.07072691552062868,0,0,473,36,3.282907662082515,1090,0.4669724770642202,0.09339449541284403,3.8781925343811396,9.880157170923379,0.1,2.0039292730844793,6.243349753694582,0.6406817105886066,0.8344827586206897,0.8328407224958949,0.241211,64.261297,75.0,77.0,77,9.273084,2119
uniform_l2p00_s2001,uniform,uniform,5ee63712c80a14a42901e2bc6c7fab121eb129ba12be16c615f8228e3944f627,4096,3586,510,510,0,1678,2040,1.2157330154946364,0.07254901960784314,0,0,473,37,3.2901960784313724,1094,0.46617915904936014,0.09323583180987204,3.8745098039215686,9.876470588235295,0.1,2.011764705882353,6.34033203125,0.630881786676935,0.849609375,0.87548828125,0.241211,66.880392,75.0,77.0,79,9.280392,2125
uniform_l2p00_s2002,uniform,uniform,8b32d69a0ac8d591e810320510f1657d685fb0e79951b992035d82d50e9bb72a,4096,3588,508,508,0,1676,2032,1.2124105011933175,0.07480314960629922,0,0,470,38,3.2992125984251968,1092,0.4652014652014652,0.09304029304029304,3.877952755905512,9.87992125984252,0.1,2.0039370078740157,6.298828125,0.6350387596899225,0.84130859375,0.8759765625,0.240723,67.165354,75.0,77.0,77,9.28937,2119
