name,workload,seed,offered,overrun,accepted,delivered,errors,throughput,avg_e2e_latency,max_e2e_latency,max_request_wait,link_bits,data_cycles,delimiter_cycles,blocks,raw_blocks,token_blocks,dictionary_blocks,raw_bypass_ratio,bits_per_event,compression_ratio,events_per_link_cycle,events_per_pin_cycle,toggle_per_event,raw_toggle_per_event
uniform_l0p90_s2002,uniform,2002,1851,1324,527,527,0,0.242188,127.979127,149,65,1947,987,33,33,6,27,0,0.18181818181818182,3.6944971537001896,1.0826913199794557,0.5166666666666667,0.10333333333333333,2.55977229601518,2.0056925996204935
uniform_l0p90_s2003,uniform,2003,1837,1311,526,526,0,0.242188,127.819392,150,66,1933,981,33,33,4,29,0,0.12121212121212122,3.6749049429657794,1.0884635281945163,0.5187376725838264,0.10374753451676529,2.549429657794677,2.0095057034220534
uniform_l1p00_s2001,uniform,2001,2048,1521,527,527,0,0.242188,128.491461,148,65,1939,983,33,33,6,27,0,0.18181818181818182,3.6793168880455407,1.0871583290355853,0.5187007874015748,0.10374015748031495,2.555977229601518,1.9943074003795067
uniform_l1p00_s2002,uniform,2002,2048,1521,527,527,0,0.242188,128.901328,148,65,1929,979,33,33,4,29,0,0.12121212121212122,3.6603415559772294,1.092794193882841,0.5207509881422925,0.1041501976284585,2.601518026565465,2.01707779886148
uniform_l1p00_s2003,uniform,2003,2048,1520,528,528,0,0.242188,130.047348,148,66,1922,976,33,33,3,30,0,0.09090909090909091,3.640151515151515,1.0988553590010406,0.5232903865213082,0.10465807730426165,2.5928030303030303,1.9943181818181819
uniform_l1p25_s2001,uniform,2001,2536,2004,532,532,0,0.242188,131.404135,148,65,1916,974,34,34,2,32,0,0.058823529411764705,3.601503759398496,1.1106471816283925,0.5277777777777778,0.10555555555555556,2.6221804511278197,2.0169172932330826
uniform_l1p25_s2002,uniform,2002,2574,2043,531,531,0,0.242188,131.966102,148,65,1908,970,34,34,2,32,0,0.058823529411764705,3.593220338983051,1.1132075471698113,0.5288844621513944,0.10577689243027888,2.623352165725047,2.005649717514124
uniform_l1p25_s2003,uniform,2003,2550,2020,530,530,0,0.242188,131.828302,148,65,1911,971,34,34,3,31,0,0.08823529411764706,3.6056603773584905,1.109366823652538,0.527363184079602,0.1054726368159204,2.579245283018868,1.990566037735849
uniform_l1p50_s2001,uniform,2001,3039,2507,532,532,0,0.242188,133.609023,148,65,1912,972,34,34,2,32,0,0.058823529411764705,3.593984962406015,1.112970711297071,0.5288270377733598,0.10576540755467197,2.595864661654135,2.013157894736842
uniform_l1p50_s2002,uniform,2002,3094,2561,533,533,0,0.242188,133.386492,148,66,1915,973,34,34,3,31,0,0.08823529411764706,3.592870544090056,1.1133159268929504,0.5292949354518371,0.10585898709036742,2.523452157598499,2.0093808630393997
uniform_l1p50_s2003,uniform,2003,3045,2510,535,535,0,0.242188,133.338318,148,64,1920,976,34,34,2,32,0,0.058823529411764705,3.588785046728972,1.1145833333333333,0.5297029702970297,0.10594059405940594,2.611214953271028,2.005607476635514
uniform_l2p00_s2001,uniform,2001,4096,3560,536,536,0,0.242188,136.425373,146,63,1920,976,34,34,2,32,0,0.058823529411764705,3.582089552238806,1.1166666666666667,0.5306930693069307,0.10613861386138614,2.639925373134328,2.031716417910448
uniform_l2p00_s2002,uniform,2002,4096,3561,535,535,0,0.242188,136.104673,146,63,1916,974,34,34,2,32,0,0.058823529411764705,3.581308411214953,1.116910229645094,0.5307539682539683,0.10615079365079365,2.622429906542056,2.013084112149533
uniform_l2p00_s2003,uniform,2003,4096,3560,536,536,0,0.242188,135.945896,146,63,1920,976,34,34,2,32,0,0.058823529411764705,3.582089552238806,1.1166666666666667,0.5306930693069307,0.10613861386138614,2.6175373134328357,2.0093283582089554
