name,workload,events,zero_order_entropy,transition_entropy,repeat_fraction,mean_run_length,max_run_length,run_length_entropy,block_size,blocks,compressed_blocks,raw_blocks,token_blocks,dictionary_blocks,raw_bypass_ratio,bits,bits_per_event,compression_ratio,saved_bits,mode_header_lower_bound_bits,inband_header_bits_per_event
uniform_l0p125_s2001,uniform,251,3.9742179720278337,3.191557398983436,0.07569721115537853,1.081896551724138,3,0.41763270464868757,8,32,0,32,0,0,1.0,1004,4.0,1.0,0,32,0.12749003984063745
uniform_l0p125_s2001,uniform,251,3.9742179720278337,3.191557398983436,0.07569721115537853,1.081896551724138,3,0.41763270464868757,16,16,0,16,0,0,1.0,1004,4.0,1.0,0,16,0.06374501992031872
uniform_l0p125_s2001,uniform,251,3.9742179720278337,3.191557398983436,0.07569721115537853,1.081896551724138,3,0.41763270464868757,32,8,0,8,0,0,1.0,1004,4.0,1.0,0,8,0.03187250996015936
uniform_l0p125_s2002,uniform,261,3.9451860026438195,3.2330973165764934,0.06896551724137934,1.0740740740740742,3,0.3860080775817309,4,66,0,66,0,0,1.0,1044,4.0,1.0,0,66,0.25287356321839083
uniform_l0p125_s2002,uniform,261,3.9451860026438195,3.2330973165764934,0.06896551724137934,1.0740740740740742,3,0.3860080775817309,8,33,0,33,0,0,1.0,1044,4.0,1.0,0,33,0.12643678160919541
uniform_l0p125_s2002,uniform,261,3.9451860026438195,3.2330973165764934,0.06896551724137934,1.0740740740740742,3,0.3860080775817309,16,17,0,17,0,0,1.0,1044,4.0,1.0,0,17,0.06513409961685823
uniform_l0p125_s2002,uniform,261,3.9451860026438195,3.2330973165764934,0.06896551724137934,1.0740740740740742,3,0.3860080775817309,32,9,0,9,0,0,1.0,1044,4.0,1.0,0,9,0.034482758620689655
uniform_l0p125_s2003,uniform,231,3.9573787169157315,3.098280805357859,0.06493506493506496,1.0694444444444444,3,0.3703299287759836,4,58,0,58,0,0,1.0,924,4.0,1.0,0,58,0.2510822510822511
uniform_l0p125_s2003,uniform,231,3.9573787169157315,3.098280805357859,0.06493506493506496,1.0694444444444444,3,0.3703299287759836,8,29,0,29,0,0,1.0,924,4.0,1.0,0,29,0.12554112554112554
uniform_l0p125_s2003,uniform,231,3.9573787169157315,3.098280805357859,0.06493506493506496,1.0694444444444444,3,0.3703299287759836,16,15,0,15,0,0,1.0,924,4.0,1.0,0,15,0.06493506493506493
uniform_l0p125_s2003,uniform,231,3.9573787169157315,3.098280805357859,0.06493506493506496,1.0694444444444444,3,0.3703299287759836,32,8,0,8,0,0,1.0,924,4.0,1.0,0,8,0.03463203463203463
uniform_l0p50_s2001,uniform,982,3.9865432442050497,3.7759460213652507,0.07433808553971488,1.0803080308030804,4,0.4113263763936777,4,246,1,245,1,0,0.9959349593495935,3925,3.9969450101832993,1.000764331210191,3,246,0.2505091649694501
uniform_l0p50_s2001,uniform,982,3.9865432442050497,3.7759460213652507,0.07433808553971488,1.0803080308030804,4,0.4113263763936777,8,123,0,123,0,0,1.0,3928,4.0,1.0,0,123,0.12525458248472504
uniform_l0p50_s2001,uniform,982,3.9865432442050497,3.7759460213652507,0.07433808553971488,1.0803080308030804,4,0.4113263763936777,16,62,0,62,0,0,1.0,3928,4.0,1.0,0,62,0.06313645621181263
uniform_l0p50_s2001,uniform,982,3.9865432442050497,3.7759460213652507,0.07433808553971488,1.0803080308030804,4,0.4113263763936777,32,31,0,31,0,0,1.0,3928,4.0,1.0,0,31,0.031568228105906315
uniform_l0p50_s2002,uniform,1038,3.986454160138023,3.807189273390859,0.052023121387283267,1.0548780487804879,3,0.31079265949927504,4,260,0,260,0,0,1.0,4152,4.0,1.0,0,260,0.2504816955684008
uniform_l0p50_s2002,uniform,1038,3.986454160138023,3.807189273390859,0.052023121387283267,1.0548780487804879,3,0.31079265949927504,8,130,0,130,0,0,1.0,4152,4.0,1.0,0,130,0.1252408477842004
uniform_l0p50_s2002,uniform,1038,3.986454160138023,3.807189273390859,0.052023121387283267,1.0548780487804879,3,0.31079265949927504,16,65,0,65,0,0,1.0,4152,4.0,1.0,0,65,0.0626204238921002
uniform_l0p50_s2002,uniform,1038,3.986454160138023,3.807189273390859,0.052023121387283267,1.0548780487804879,3,0.31079265949927504,32,33,0,33,0,0,1.0,4152,4.0,1.0,0,33,0.031791907514450865
uniform_l0p50_s2003,uniform,1032,3.9811080462801587,3.794246684892619,0.05620155038759689,1.0595482546201231,3,0.3301972060684187,4,258,0,258,0,0,1.0,4128,4.0,1.0,0,258,0.25
uniform_l0p50_s2003,uniform,1032,3.9811080462801587,3.794246684892619,0.05620155038759689,1.0595482546201231,3,0.3301972060684187,8,129,0,129,0,0,1.0,4128,4.0,1.0,0,129,0.125
uniform_l0p50_s2003,uniform,1032,3.9811080462801587,3.794246684892619,0.05620155038759689,1.0595482546201231,3,0.3301972060684187,16,65,0,65,0,0,1.0,4128,4.0,1.0,0,65,0.06298449612403101
uniform_l0p50_s2003,uniform,1032,3.9811080462801587,3.794246684892619,0.05620155038759689,1.0595482546201231,3,0.3301972060684187,32,33,0,33,0,0,1.0,4128,4.0,1.0,0,33,0.03197674418604651
uniform_l0p90_s2001,uniform,1868,3.9939505056899067,3.9081559005535533,0.06263383297644542,1.0668189605939462,3,0.3588178244785524,4,467,0,467,0,0,1.0,7472,4.0,1.0,0,467,0.25
uniform_l0p90_s2001,uniform,1868,3.9939505056899067,3.9081559005535533,0.06263383297644542,1.0668189605939462,3,0.3588178244785524,8,234,0,234,0,0,1.0,7472,4.0,1.0,0,234,0.1252676659528908
uniform_l0p90_s2001,uniform,1868,3.9939505056899067,3.9081559005535533,0.06263383297644542,1.0668189605939462,3,0.3588178244785524,16,117,0,117,0,0,1.0,7472,4.0,1.0,0,117,0.0626338329764454
uniform_l0p90_s2001,uniform,1868,3.9939505056899067,3.9081559005535533,0.06263383297644542,1.0668189605939462,3,0.3588178244785524,32,59,0,59,0,0,1.0,7472,4.0,1.0,0,59,0.03158458244111349
uniform_l0p90_s2002,uniform,1851,3.991382752468993,3.905434689584741,0.0486223662884927,1.051107325383305,3,0.29468471554153464,4,463,2,461,2,0,0.9956803455723542,7394,3.9945975148568342,1.0013524479307547,10,463,0.25013506212857917
uniform_l0p90_s2002,uniform,1851,3.991382752468993,3.905434689584741,0.0486223662884927,1.051107325383305,3,0.29468471554153464,8,232,0,232,0,0,1.0,7404,4.0,1.0,0,232,0.12533765532144786
