name,workload,kind,block_size,link_width,pins,charged_storage_bits,offered,accepted,overrun,delivered,blocks,raw_blocks,link_bits,link_cycles,bits_per_event,events_per_pin_cycle,average_latency,max_latency,drain_cycle
elephant_mouse_identity,elephant_mouse,codec,32,1,3,522,1827,586,1241,586,19,8,2147,2166,3.66382252559727,0.09018159433671899,247.1518771331058,351,2210
elephant_mouse_identity,elephant_mouse,raw,32,2,5,522,1827,1029,798,1029,33,33,4116,2091,4.0,0.09842180774748924,131.52964042759962,170,2151
elephant_mouse_identity,elephant_mouse,codec,32,2,5,522,1827,1154,673,1154,37,10,4059,2080,3.517331022530329,0.11096153846153846,116.01646447140381,160,2143
elephant_mouse_identity,elephant_mouse,raw,32,4,8,522,1827,1827,0,1827,58,58,7308,1885,4.0,0.12115384615384615,65.95511767925561,76,2111
elephant_mouse_identity,elephant_mouse,codec,32,4,8,522,1827,1827,0,1827,58,8,5814,1549,3.1822660098522166,0.1474338282763073,61.50903119868637,73,2102
global_fanin_identity,global_fanin,raw,4,1,3,74,512,488,24,488,122,122,1952,2074,4.0,0.0784313725490196,67.04918032786885,101,2080
global_fanin_identity,global_fanin,codec,4,1,3,74,512,488,24,488,122,122,1952,2074,4.0,0.0784313725490196,67.04918032786885,101,2080
global_fanin_identity,global_fanin,raw,4,2,5,74,512,512,0,512,128,128,2048,1152,4.0,0.08888888888888889,27.0,42,2048
global_fanin_identity,global_fanin,codec,4,2,5,74,512,512,0,512,128,128,2048,1152,4.0,0.08888888888888889,27.0,42,2048
global_fanin_identity,global_fanin,raw,4,4,8,74,512,512,0,512,128,128,2048,640,4.0,0.1,17.0,26,2048
global_fanin_identity,global_fanin,codec,4,4,8,74,512,512,0,512,128,128,2048,640,4.0,0.1,17.0,26,2048
global_fanin_identity,global_fanin,raw,8,1,3,138,512,504,8,504,63,63,2016,2079,4.0,0.08080808080808081,87.1984126984127,131,2093
global_fanin_identity,global_fanin,codec,8,1,3,138,512,512,0,512,64,32,1952,2016,3.8125,0.08465608465608465,58.5,77,2061
global_fanin_identity,global_fanin,raw,8,2,5,138,512,512,0,512,64,64,2048,1088,4.0,0.09411764705882353,36.0,48,2048
global_fanin_identity,global_fanin,codec,8,2,5,138,512,512,0,512,64,32,1952,1056,3.8125,0.09696969696969697,35.5,47,2048
global_fanin_identity,global_fanin,raw,8,4,8,138,512,512,0,512,64,64,2048,576,4.0,0.1111111111111111,24.0,32,2048
global_fanin_identity,global_fanin,codec,8,4,8,138,512,512,0,512,64,32,1952,576,3.8125,0.1111111111111111,24.0,32,2048
global_fanin_identity,global_fanin,raw,16,1,3,266,512,512,0,512,32,32,2048,2080,4.0,0.08205128205128205,103.0,126,2110
global_fanin_identity,global_fanin,codec,16,1,3,266,512,512,0,512,32,0,1824,1856,3.5625,0.09195402298850575,80.5,88,2072
global_fanin_identity,global_fanin,raw,16,2,5,266,512,512,0,512,32,32,2048,1056,4.0,0.09696969696969697,55.5,63,2048
